student_id,student_code,student_name,gender,age,batch_year,program,institution_id,region_id,admission_date,graduation_date,is_active
1,pu-bsit-001,Zainab Malik,Female,18,2019,BSIT,1001,1,9/1/2019,6/30/2023,FALSE
2,pu-bsse-002,Ayesha Tariq,Female,20,2019,BSSE,1001,1,9/1/2019,6/30/2023,FALSE
3,pu-bsse-003,Fahad Mehmood,Male,20,2022,BSSE,1001,1,9/1/2022,6/30/2026,TRUE
4,pu-bba-004,Aqsa Batool,Female,23,2019,BBA,1001,1,9/1/2019,6/30/2023,FALSE
5,pu-bsit-005,Iqra Nawaz,Female,22,2019,BSIT,1001,1,9/1/2019,6/30/2023,FALSE
6,pu-bsse-006,Shahzaib Khan,Male,25,2023,BSSE,1001,1,9/1/2023,6/30/2027,TRUE
7,pu-bscs-007,Ahmed Nawaz,Male,18,2023,BSCS,1001,1,9/1/2023,6/30/2027,TRUE
8,pu-bsse-008,Fatima Zahra,Female,18,2021,BSSE,1001,1,9/1/2021,6/30/2025,TRUE
9,pu-bba-009,Zainab Malik,Female,24,2019,BBA,1001,1,9/1/2019,6/30/2023,FALSE
10,pu-bsit-010,Bilal Zafar,Male,21,2023,BSIT,1001,1,9/1/2023,6/30/2027,TRUE
11,pu-bscs-011,Hamza Qureshi,Male,23,2018,BSCS,1001,1,9/1/2018,6/30/2022,FALSE
12,pu-bba-012,Nimra Yousaf,Female,25,2018,BBA,1001,1,9/1/2018,6/30/2022,FALSE
13,pu-bsit-013,Adeel Rauf,Male,19,2023,BSIT,1001,1,9/1/2023,6/30/2027,TRUE
14,pu-bsit-014,Imran Tariq,Male,25,2018,BSIT,1001,1,9/1/2018,6/30/2022,FALSE
15,pu-bscs-015,Rabia Shah,Female,21,2019,BSCS,1001,1,9/1/2019,6/30/2023,FALSE
16,pu-bscs-016,Zainab Malik,Female,24,2019,BSCS,1001,1,9/1/2019,6/30/2023,FALSE
17,pu-bscs-017,Adeel Rauf,Male,19,2023,BSCS,1001,1,9/1/2023,6/30/2027,TRUE
18,pu-bba-018,Hamza Qureshi,Male,22,2018,BBA,1001,1,9/1/2018,6/30/2022,FALSE
19,pu-bba-019,Usman Ghani,Male,22,2022,BBA,1001,1,9/1/2022,6/30/2026,TRUE
20,pu-bsse-020,Hira Sheikh,Female,23,2022,BSSE,1001,1,9/1/2022,6/30/2026,TRUE
21,pu-bsse-021,Adeel Rauf,Male,23,2021,BSSE,1001,1,9/1/2021,6/30/2025,TRUE
22,pu-bsse-022,Zainab Malik,Female,23,2020,BSSE,1001,1,9/1/2020,6/30/2024,FALSE
23,pu-bscs-023,Zohaib Hassan,Male,20,2018,BSCS,1001,1,9/1/2018,6/30/2022,FALSE
24,pu-bscs-024,Bilal Zafar,Male,19,2018,BSCS,1001,1,9/1/2018,6/30/2022,FALSE
25,pu-bsit-025,Ali Raza,Male,19,2020,BSIT,1001,1,9/1/2020,6/30/2024,FALSE
26,pu-bsse-026,Hamza Qureshi,Male,20,2020,BSSE,1001,1,9/1/2020,6/30/2024,FALSE
27,pu-bba-027,Hamza Qureshi,Male,23,2021,BBA,1001,1,9/1/2021,6/30/2025,TRUE
28,pu-bba-028,Nimra Yousaf,Female,20,2019,BBA,1001,1,9/1/2019,6/30/2023,FALSE
29,pu-bsit-029,Usman Ghani,Male,20,2023,BSIT,1001,1,9/1/2023,6/30/2027,TRUE
30,pu-bsse-030,Ayesha Tariq,Female,24,2022,BSSE,1001,1,9/1/2022,6/30/2026,TRUE
31,pu-bba-031,Bilal Zafar,Male,22,2023,BBA,1001,1,9/1/2023,6/30/2027,TRUE
